632 2282 : Rup 5600 , Rdown1 20000 , down0H 6015 Rdown2H 4624.25523736305977320776 , down0L 26300 Rdown2L 11360.69114470842332613390 : VsplitH .45228284408084696823 VsplitL .66982477587612061939 , VdiffH 2.87172 VdiffL 3.81752 : diffH2 825 diffL2 1457 : diffF1 632 diffF2 2282
2120 2324 : Rup 6800 , Rdown1 39000 , down0H 6015 Rdown2H 5211.26291236254581806064 , down0L 26300 Rdown2L 15707.50382848392036753445 : VsplitH .43386469436106287001 VsplitL .69787853633976077401 , VdiffH 4.71353 VdiffL 1.01215 : diffH2 2222 diffL2 102 : diffF1 2120 diffF2 2324
2149 2365 : Rup 3900 , Rdown1 16000 , down0H 6015 Rdown2H 4371.56484215307744719509 , down0L 26300 Rdown2L 9947.99054373522458628841 : VsplitH .52850517714313956457 VsplitL .71837069156836300937 , VdiffH 4.75052 VdiffL 1.03707 : diffH2 2257 diffL2 108 : diffF1 2149 diffF2 2365
2224 2386 : Rup 5600 , Rdown1 51000 , down0H 6015 Rdown2H 5380.42620363062352012628 , down0L 26300 Rdown2L 17351.87580853816300129366 : VsplitH .49000158134586909331 VsplitL .75601122772210260514 , VdiffH 0.90016 VdiffL 4.80112 : diffH2 81 diffL2 2305 : diffF1 2224 diffF2 2386
720 2472 : Rup 3600 , Rdown1 10000 , down0H 6015 Rdown2H 3755.85388698095535435529 , down0L 26300 Rdown2L 7245.17906336088154269972 : VsplitH .51059386778038097178 VsplitL .66805527331843121316 , VdiffH 2.95939 VdiffL 3.99447 : diffH2 876 diffL2 1596 : diffF1 720 diffF2 2472
1009 2525 : Rup 6800 , Rdown1 91000 , down0H 6015 Rdown2H 5642.06565994949234654434 , down0L 26300 Rdown2L 20403.23955669224211423699 : VsplitH .45346695750940088661 VsplitL .75002977179138435696 , VdiffH 2.75330 VdiffL 4.20298 : diffH2 758 diffL2 1767 : diffF1 1009 diffF2 2525
1823 2579 : Rup 5100 , Rdown1 16000 , down0H 6015 Rdown2H 4371.56484215307744719509 , down0L 26300 Rdown2L 9947.99054373522458628841 : VsplitH .46154620857342224716 VsplitL .66108431652867893107 , VdiffH 1.94538 VdiffL 4.69157 : diffH2 378 diffL2 2201 : diffF1 1823 diffF2 2579
1028 2580 : Rup 4300 , Rdown1 22000 , down0H 6015 Rdown2H 4723.54096019989291451008 , down0L 26300 Rdown2L 11979.29606625258799171842 : VsplitH .52346866723761790703 VsplitL .73586081471212911266 , VdiffH 4.24687 VdiffL 2.78608 : diffH2 1804 diffL2 776 : diffF1 1028 diffF2 2580
2589 2593 : Rup 4300 , Rdown1 12000 , down0H 6015 Rdown2H 4006.66111573688592839300 , down0L 26300 Rdown2L 8240.20887728459530026109 : VsplitH .48234315327325762056 VsplitL .65710300027066980366 , VdiffH 0.13432 VdiffL 5.08970 : diffH2 2 diffL2 2591 : diffF1 2589 diffF2 2593
2488 2610 : Rup 6200 , Rdown1 75000 , down0H 6015 Rdown2H 5568.41325680429550083317 , down0L 26300 Rdown2L 19471.86574531095755182625 : VsplitH .47316601952134320937 VsplitL .75849047897375949795 , VdiffH 0.78340 VdiffL 5.04905 : diffH2 61 diffL2 2549 : diffF1 2488 diffF2 2610
2726 2726 : Rup 3600 , Rdown1 13000 , down0H 6015 Rdown2H 4112.27977912174599000788 , down0L 26300 Rdown2L 8699.74554707379134860050 : VsplitH .53321195507640693083 VsplitL .70731101824651412967 , VdiffH 5.22120 VdiffL 0.06890 : diffH2 2726 diffL2 0 : diffF1 2726 diffF2 2726
2192 2778 : Rup 6800 , Rdown1 36000 , down0H 6015 Rdown2H 5153.87361656551231702963 , down0L 26300 Rdown2L 15197.43178170144462279293 : VsplitH .43114673802668832953 VsplitL .69087300429059280231 , VdiffH 4.98533 VdiffL 1.71270 : diffH2 2485 diffL2 293 : diffF1 2192 diffF2 2778
1417 2785 : Rup 6800 , Rdown1 100000 , down0H 6015 Rdown2H 5673.72541621468660095269 , down0L 26300 Rdown2L 20823.43626286619160728424 : VsplitH .45485412151524271741 VsplitL .75383221930498389149 , VdiffH 2.61459 VdiffL 4.58322 : diffH2 684 diffL2 2101 : diffF1 1417 diffF2 2785
1604 2794 : Rup 5100 , Rdown1 39000 , down0H 6015 Rdown2H 5211.26291236254581806064 , down0L 26300 Rdown2L 15707.50382848392036753445 : VsplitH .50539521265766333485 VsplitL .75489611622618180212 , VdiffH 2.43952 VdiffL 4.68961 : diffH2 595 diffL2 2199 : diffF1 1604 diffF2 2794
445 2893 : Rup 4700 , Rdown1 30000 , down0H 6015 Rdown2H 5010.41232819658475635152 , down0L 26300 Rdown2L 14014.20959147424511545293 : VsplitH .51598347823476175974 VsplitL .74885394026252598209 , VdiffH 3.49835 VdiffL 4.08539 : diffH2 1224 diffL2 1669 : diffF1 445 diffF2 2893
2750 3008 : Rup 5600 , Rdown1 56000 , down0H 6015 Rdown2H 5431.58913166169475126985 , down0L 26300 Rdown2L 17895.50425273390036452004 : VsplitH .49236688085785617811 VsplitL .76165653055314219519 , VdiffH 1.13669 VdiffL 5.36565 : diffH2 129 diffL2 2879 : diffF1 2750 diffF2 3008
2939 3017 : Rup 6200 , Rdown1 82000 , down0H 6015 Rdown2H 5603.93114809975572345622 , down0L 26300 Rdown2L 19913.20406278855032317636 : VsplitH .47475125683039070267 VsplitL .76257222265439912873 , VdiffH 0.62487 VdiffL 5.45722 : diffH2 39 diffL2 2978 : diffF1 2939 diffF2 3017
1819 3055 : Rup 6800 , Rdown1 110000 , down0H 6015 Rdown2H 5703.14183510752919881049 , down0L 26300 Rdown2L 21225.23844460748349229640 : VsplitH .45613669830519691813 VsplitL .75736156488229873502 , VdiffH 2.48633 VdiffL 4.93616 : diffH2 618 diffL2 2437 : diffF1 1819 diffF2 3055
2194 3070 : Rup 3300 , Rdown1 10000 , down0H 6015 Rdown2H 3755.85388698095535435529 , down0L 26300 Rdown2L 7245.17906336088154269972 : VsplitH .53230324027982424700 VsplitL .68706079051176885498 , VdiffH 5.13032 VdiffL 2.09392 : diffH2 2632 diffL2 438 : diffF1 2194 diffF2 3070
485 3079 : Rup 3300 , Rdown1 9100 , down0H 6015 Rdown2H 3621.33642077406549784981 , down0L 26300 Rdown2L 6760.73446327683615819209 : VsplitH .52321346639137416838 VsplitL .67199213814404043240 , VdiffH 4.22135 VdiffL 3.60079 : diffH2 1782 diffL2 1297 : diffF1 485 diffF2 3079
2507 3185 : Rup 7500 , Rdown1 82000 , down0H 6015 Rdown2H 5603.93114809975572345622 , down0L 26300 Rdown2L 19913.20406278855032317636 : VsplitH .42765267039062550803 VsplitL .72640921568957677215 , VdiffH 5.33473 VdiffL 1.84092 : diffH2 2846 diffL2 339 : diffF1 2507 diffF2 3185
2820 3208 : Rup 7500 , Rdown1 75000 , down0H 6015 Rdown2H 5568.41325680429550083317 , down0L 26300 Rdown2L 19471.86574531095755182625 : VsplitH .42609712039103177133 VsplitL .72193247323634367279 , VdiffH 5.49029 VdiffL 1.39325 : diffH2 3014 diffL2 194 : diffF1 2820 diffF2 3208
2132 3210 : Rup 7500 , Rdown1 91000 , down0H 6015 Rdown2H 5642.06565994949234654434 , down0L 26300 Rdown2L 20403.23955669224211423699 : VsplitH .42931345847279657876 VsplitL .73121400528558989321 , VdiffH 5.16865 VdiffL 2.32140 : diffH2 2671 diffL2 539 : diffF1 2132 diffF2 3210
1792 3272 : Rup 7500 , Rdown1 100000 , down0H 6015 Rdown2H 5673.72541621468660095269 , down0L 26300 Rdown2L 20823.43626286619160728424 : VsplitH .43068496093225572590 VsplitL .73520162135718778391 , VdiffH 5.03150 VdiffL 2.72016 : diffH2 2532 diffL2 740 : diffF1 1792 diffF2 3272
3148 3296 : Rup 7500 , Rdown1 68000 , down0H 6015 Rdown2H 5526.17712625819090724853 , down0L 26300 Rdown2L 18965.00530222693531283138 : VsplitH .42423629532247901611 VsplitL .71660689599903832668 , VdiffH 5.67637 VdiffL 0.86069 : diffH2 3222 diffL2 74 : diffF1 3148 diffF2 3296
2172 3304 : Rup 6800 , Rdown1 120000 , down0H 6015 Rdown2H 5727.88953695988572788953 , down0L 26300 Rdown2L 21572.11209842788790157211 : VsplitH .45721105059726281464 VsplitL .76032802998911063784 , VdiffH 2.37889 VdiffL 5.23280 : diffH2 566 diffL2 2738 : diffF1 2172 diffF2 3304
1451 3361 : Rup 7500 , Rdown1 110000 , down0H 6015 Rdown2H 5703.14183510752919881049 , down0L 26300 Rdown2L 21225.23844460748349229640 : VsplitH .43195338702964722011 VsplitL .73890556158610561266 , VdiffH 4.90466 VdiffL 3.09056 : diffH2 2406 diffL2 955 : diffF1 1451 diffF2 3361
452 3446 : Rup 6200 , Rdown1 24000 , down0H 6015 Rdown2H 4809.59520239880059970014 , down0L 26300 Rdown2L 12548.70775347912524850894 : VsplitH .43685486287006019010 VsplitL .66931054227726761817 , VdiffH 4.41451 VdiffL 3.86895 : diffH2 1949 diffL2 1497 : diffF1 452 diffF2 3446
2175 3447 : Rup 6800 , Rdown1 33000 , down0H 6015 Rdown2H 5087.65859284890426758938 , down0L 26300 Rdown2L 14635.75042158516020236087 : VsplitH .42797818873343294587 VsplitL .68277294397155309407 , VdiffH 5.30218 VdiffL 2.52271 : diffH2 2811 diffL2 636 : diffF1 2175 diffF2 3447
3264 3448 : Rup 3900 , Rdown1 10000 , down0H 6015 Rdown2H 3755.85388698095535435529 , down0L 26300 Rdown2L 7245.17906336088154269972 : VsplitH .49058588923280196723 VsplitL .65007291692414168129 , VdiffH 0.95859 VdiffL 5.79271 : diffH2 92 diffL2 3356 : diffF1 3264 diffF2 3448
3433 3453 : Rup 7500 , Rdown1 62000 , down0H 6015 Rdown2H 5483.05520840990957876938 , down0L 26300 Rdown2L 18466.59116647791619479048 : VsplitH .42232395383008179108 VsplitL .71116732450879909283 , VdiffH 5.86760 VdiffL 0.31673 : diffH2 3443 diffL2 10 : diffF1 3433 diffF2 3453
1145 3459 : Rup 7500 , Rdown1 120000 , down0H 6015 Rdown2H 5727.88953695988572788953 , down0L 26300 Rdown2L 21572.11209842788790157211 : VsplitH .43301613012080718094 VsplitL .74202080761770410862 , VdiffH 4.79839 VdiffL 3.40208 : diffH2 2302 diffL2 1157 : diffF1 1145 diffF2 3459
2657 3495 : Rup 3600 , Rdown1 9100 , down0H 6015 Rdown2H 3621.33642077406549784981 , down0L 26300 Rdown2L 6760.73446327683615819209 : VsplitH .50147731801503428752 VsplitL .65253428579218583853 , VdiffH 2.04773 VdiffL 5.54657 : diffH2 419 diffL2 3076 : diffF1 2657 diffF2 3495
